Date;MoonPhase;Epact;SkyCoverage;Hour;NightDay;Site;Year;Season;Sps;N_ind
06/06/2023;3;18;0;00:36:00;N;CascineDelRiccio3;2023;summer;EuropeanBadger;1
10/06/2023;2;22;15;08:43:00;D;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;15;08:25:00;D;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;15;09:00:00;D;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;09:16:00;D;Cascine;2023;summer;RedSquirrel;1
01/08/2023;4;16;0;09:16:00;D;Cascine;2023;summer;RedSquirrel;1
01/08/2023;4;16;20;09:57:00;D;Osmannoro;2023;summer;Human;2
01/08/2023;4;16;20;11:10:00;D;Osmannoro;2023;summer;Human;2
01/08/2023;4;16;0;12:48:00;D;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;30;00:19:00;N;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;30;00:27:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;00:45:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;35;01:05:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;01:08:00;N;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;0;06:36:00;D;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;50;19:03:00;D;Sesto4;2023;summer;CommonPheasant;1
01/08/2023;4;16;50;19:34:00;D;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;0;21:07:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;21:17:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;21:18:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;21:38:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;35;22:11:00;N;Osmannoro;2023;summer;Human;1
01/08/2023;4;16;0;22:48:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;22:51:00;N;Empoli_Serravalle;2023;summer;Coypu;1
01/08/2023;4;16;0;23:17:00;N;Osmannoro;2023;summer;Human;2
01/08/2023;4;16;0;23:33:00;N;Empoli_Serravalle;2023;summer;Coypu;1
02/08/2023;3;17;100;08:10:00;D;TorrinoSantarosa;2023;summer;AegyptianGoose;1
02/08/2023;3;17;100;08:10:00;D;Osmannoro;2023;summer;Human;1
02/08/2023;3;17;100;10:11:00;D;Osmannoro;2023;summer;Human;2
02/08/2023;3;17;100;10:29:00;D;Osmannoro;2023;summer;Human;2
02/08/2023;3;17;100;11:05:00;D;Osmannoro;2023;summer;Human;1
02/08/2023;3;17;100;11:09:00;D;Empoli_Serravalle;2023;summer;Human;1
02/08/2023;3;17;100;11:37:00;D;Osmannoro;2023;summer;Human;2
